open,high,low,close,tick_volume,spread,time,date
44380.0,44381.5,44349.0,44358.0,883,520,2025-07-08 06:00:00,1751954400
44357.5,44385.5,44354.0,44364.5,953,520,2025-07-08 07:00:00,1751958000
44365.0,44403.0,44358.0,44400.5,1253,520,2025-07-08 08:00:00,1751961600
44401.1,44417.1,44380.1,44405.6,1633,500,2025-07-08 09:00:00,1751965200
44403.6,44442.1,44375.1,44430.6,2492,500,2025-07-08 10:00:00,1751968800
44429.1,44429.1,44339.1,44364.1,2050,500,2025-07-08 11:00:00,1751972400
44362.6,44377.1,44329.1,44339.1,1714,500,2025-07-08 12:00:00,1751976000
44340.1,44378.1,44314.1,44364.1,1905,500,2025-07-08 13:00:00,1751979600
44365.1,44413.1,44354.1,44384.6,1671,500,2025-07-08 14:00:00,1751983200
44377.1,44380.1,44324.1,44353.1,2555,500,2025-07-08 15:00:00,1751986800
44352.6,44434.2,44279.1,44340.7,6853,480,2025-07-08 16:00:00,1751990400
44340.2,44373.2,44213.2,44255.7,10415,480,2025-07-08 17:00:00,1751994000
44256.2,44359.7,44239.2,44337.2,8226,480,2025-07-08 18:00:00,1751997600
44337.7,44385.2,44255.2,44268.2,8253,480,2025-07-08 19:00:00,1752001200
44271.7,44303.0,44198.2,44288.0,7914,480,2025-07-08 20:00:00,1752004800
44282.5,44298.5,44230.5,44258.0,5708,480,2025-07-08 21:00:00,1752008400
44256.5,44287.5,44211.0,44231.5,6258,480,2025-07-08 22:00:00,1752012000
44231.0,44255.0,44217.5,44235.4,1399,480,2025-07-08 23:00:00,1752015600
44254.3,44265.5,44230.0,44242.0,384,520,2025-07-09 01:00:00,1752022800
44245.0,44261.0,44210.0,44216.9,775,520,2025-07-09 02:00:00,1752026400
44210.4,44211.8,44164.4,44185.9,1379,520,2025-07-09 03:00:00,1752030000
44185.4,44221.4,44153.8,44214.9,1717,520,2025-07-09 04:00:00,1752033600
44215.4,44230.9,44204.0,44209.0,1108,520,2025-07-09 05:00:00,1752037200
44209.5,44216.5,44189.5,44194.4,982,520,2025-07-09 06:00:00,1752040800
44194.9,44222.0,44189.0,44214.5,768,520,2025-07-09 07:00:00,1752044400
44214.0,44215.5,44179.5,44199.5,1008,520,2025-07-09 08:00:00,1752048000
44199.6,44256.6,44169.6,44242.6,1759,500,2025-07-09 09:00:00,1752051600
44245.6,44276.6,44212.1,44264.6,2210,500,2025-07-09 10:00:00,1752055200
44264.1,44288.1,44254.6,44264.6,1766,500,2025-07-09 11:00:00,1752058800
44268.1,44344.1,44266.6,44308.6,2035,500,2025-07-09 12:00:00,1752062400
44308.1,44325.6,44286.6,44317.6,1746,500,2025-07-09 13:00:00,1752066000
44316.6,44375.6,44311.1,44361.1,1480,500,2025-07-09 14:00:00,1752069600
44360.6,44416.5,44339.6,44394.6,2070,500,2025-07-09 15:00:00,1752073200
44395.6,44561.6,44382.5,44471.1,7155,480,2025-07-09 16:00:00,1752076800
44469.6,44476.6,44251.6,44273.6,10184,480,2025-07-09 17:00:00,1752080400
44269.6,44349.7,44224.6,44307.7,8081,480,2025-07-09 18:00:00,1752084000
